gbw1.dat: Qs0^2=0.05, gamma=0.4
gbw2.dat: Qs0^2=0.05, gamma=0.6
gbw3.dat: Qs0^2=0.05, gamma=0.8
gbw4.dat: Qs0^2=0.05, gamma=1.0
gbw5.dat: Qs0^2=0.05, gamma=1.2
gbw6.dat: Qs0^2=0.05, gamma=1.4
gbw7.dat: Qs0^2=0.05, gamma=1.6
gbw8.dat: Qs0^2=0.05, gamma=1.8
gbw9.dat: Qs0^2=0.05, gamma=2
gbw10.dat: Qs0^2=0.10, gamma=0.4
gbw11.dat: Qs0^2=0.10, gamma=0.6
gbw12.dat: Qs0^2=0.10, gamma=0.8
gbw13.dat: Qs0^2=0.10, gamma=1.0
gbw14.dat: Qs0^2=0.10, gamma=1.2
gbw15.dat: Qs0^2=0.10, gamma=1.4
gbw16.dat: Qs0^2=0.10, gamma=1.6
gbw17.dat: Qs0^2=0.10, gamma=1.8
gbw18.dat: Qs0^2=0.10, gamma=2
gbw19.dat: Qs0^2=0.15, gamma=0.4
gbw20.dat: Qs0^2=0.15, gamma=0.6
gbw21.dat: Qs0^2=0.15, gamma=0.8
gbw22.dat: Qs0^2=0.15, gamma=1.0
gbw23.dat: Qs0^2=0.15, gamma=1.2
gbw24.dat: Qs0^2=0.15, gamma=1.4
gbw25.dat: Qs0^2=0.15, gamma=1.6
gbw26.dat: Qs0^2=0.15, gamma=1.8
gbw27.dat: Qs0^2=0.15, gamma=2
gbw28.dat: Qs0^2=0.20, gamma=0.4
gbw29.dat: Qs0^2=0.20, gamma=0.6
gbw30.dat: Qs0^2=0.20, gamma=0.8
gbw31.dat: Qs0^2=0.20, gamma=1.0
gbw32.dat: Qs0^2=0.20, gamma=1.2
gbw33.dat: Qs0^2=0.20, gamma=1.4
gbw34.dat: Qs0^2=0.20, gamma=1.6
gbw35.dat: Qs0^2=0.20, gamma=1.8
gbw36.dat: Qs0^2=0.20, gamma=2
gbw37.dat: Qs0^2=0.25, gamma=0.4
gbw38.dat: Qs0^2=0.25, gamma=0.6
gbw39.dat: Qs0^2=0.25, gamma=0.8
gbw40.dat: Qs0^2=0.25, gamma=1.0
gbw41.dat: Qs0^2=0.25, gamma=1.2
gbw42.dat: Qs0^2=0.25, gamma=1.4
gbw43.dat: Qs0^2=0.25, gamma=1.6
gbw44.dat: Qs0^2=0.25, gamma=1.8
gbw45.dat: Qs0^2=0.25, gamma=2
gbw46.dat: Qs0^2=0.30, gamma=0.4
gbw47.dat: Qs0^2=0.30, gamma=0.6
gbw48.dat: Qs0^2=0.30, gamma=0.8
gbw49.dat: Qs0^2=0.30, gamma=1.0
gbw50.dat: Qs0^2=0.30, gamma=1.2
gbw51.dat: Qs0^2=0.30, gamma=1.4
gbw52.dat: Qs0^2=0.30, gamma=1.6
gbw53.dat: Qs0^2=0.30, gamma=1.8
gbw54.dat: Qs0^2=0.30, gamma=2
gbw55.dat: Qs0^2=0.35, gamma=0.4
gbw56.dat: Qs0^2=0.35, gamma=0.6
gbw57.dat: Qs0^2=0.35, gamma=0.8
gbw58.dat: Qs0^2=0.35, gamma=1.0
gbw59.dat: Qs0^2=0.35, gamma=1.2
gbw60.dat: Qs0^2=0.35, gamma=1.4
gbw61.dat: Qs0^2=0.35, gamma=1.6
gbw62.dat: Qs0^2=0.35, gamma=1.8
gbw63.dat: Qs0^2=0.35, gamma=2
gbw64.dat: Qs0^2=0.40, gamma=0.4
gbw65.dat: Qs0^2=0.40, gamma=0.6
gbw66.dat: Qs0^2=0.40, gamma=0.8
gbw67.dat: Qs0^2=0.40, gamma=1.0
gbw68.dat: Qs0^2=0.40, gamma=1.2
gbw69.dat: Qs0^2=0.40, gamma=1.4
gbw70.dat: Qs0^2=0.40, gamma=1.6
gbw71.dat: Qs0^2=0.40, gamma=1.8
gbw72.dat: Qs0^2=0.40, gamma=2
gbw73.dat: Qs0^2=0.45, gamma=0.4
gbw74.dat: Qs0^2=0.45, gamma=0.6
gbw75.dat: Qs0^2=0.45, gamma=0.8
gbw76.dat: Qs0^2=0.45, gamma=1.0
gbw77.dat: Qs0^2=0.45, gamma=1.2
gbw78.dat: Qs0^2=0.45, gamma=1.4
gbw79.dat: Qs0^2=0.45, gamma=1.6
gbw80.dat: Qs0^2=0.45, gamma=1.8
gbw81.dat: Qs0^2=0.45, gamma=2
gbw82.dat: Qs0^2=0.50, gamma=0.4
gbw83.dat: Qs0^2=0.50, gamma=0.6
gbw84.dat: Qs0^2=0.50, gamma=0.8
gbw85.dat: Qs0^2=0.50, gamma=1.0
gbw86.dat: Qs0^2=0.50, gamma=1.2
gbw87.dat: Qs0^2=0.50, gamma=1.4
gbw88.dat: Qs0^2=0.50, gamma=1.6
gbw89.dat: Qs0^2=0.50, gamma=1.8
gbw90.dat: Qs0^2=0.50, gamma=2
