mv2g_1.dat: Qs0^2=0.1, Qs0^2_2=0.2, gamma=0.4, gamma2=0.8
mv2g_2.dat: Qs0^2=0.1, Qs0^2_2=0.2, gamma=0.4, gamma2=1.2
mv2g_3.dat: Qs0^2=0.1, Qs0^2_2=0.2, gamma=0.4, gamma2=1.6
mv2g_4.dat: Qs0^2=0.1, Qs0^2_2=0.2, gamma=0.4, gamma2=2.0
mv2g_5.dat: Qs0^2=0.1, Qs0^2_2=0.2, gamma=0.8, gamma2=1.2
mv2g_6.dat: Qs0^2=0.1, Qs0^2_2=0.2, gamma=0.8, gamma2=1.6
mv2g_7.dat: Qs0^2=0.1, Qs0^2_2=0.2, gamma=0.8, gamma2=2.0
mv2g_8.dat: Qs0^2=0.1, Qs0^2_2=0.2, gamma=1.2, gamma2=1.6
mv2g_9.dat: Qs0^2=0.1, Qs0^2_2=0.2, gamma=1.2, gamma2=2.0
mv2g_10.dat: Qs0^2=0.1, Qs0^2_2=0.2, gamma=1.6, gamma2=2.0
mv2g_11.dat: Qs0^2=0.1, Qs0^2_2=0.3, gamma=0.4, gamma2=0.8
mv2g_12.dat: Qs0^2=0.1, Qs0^2_2=0.3, gamma=0.4, gamma2=1.2
mv2g_13.dat: Qs0^2=0.1, Qs0^2_2=0.3, gamma=0.4, gamma2=1.6
mv2g_14.dat: Qs0^2=0.1, Qs0^2_2=0.3, gamma=0.4, gamma2=2.0
mv2g_15.dat: Qs0^2=0.1, Qs0^2_2=0.3, gamma=0.8, gamma2=1.2
mv2g_16.dat: Qs0^2=0.1, Qs0^2_2=0.3, gamma=0.8, gamma2=1.6
mv2g_17.dat: Qs0^2=0.1, Qs0^2_2=0.3, gamma=0.8, gamma2=2.0
mv2g_18.dat: Qs0^2=0.1, Qs0^2_2=0.3, gamma=1.2, gamma2=1.6
mv2g_19.dat: Qs0^2=0.1, Qs0^2_2=0.3, gamma=1.2, gamma2=2.0
mv2g_20.dat: Qs0^2=0.1, Qs0^2_2=0.3, gamma=1.6, gamma2=2.0
mv2g_21.dat: Qs0^2=0.1, Qs0^2_2=0.4, gamma=0.4, gamma2=0.8
mv2g_22.dat: Qs0^2=0.1, Qs0^2_2=0.4, gamma=0.4, gamma2=1.2
mv2g_23.dat: Qs0^2=0.1, Qs0^2_2=0.4, gamma=0.4, gamma2=1.6
mv2g_24.dat: Qs0^2=0.1, Qs0^2_2=0.4, gamma=0.4, gamma2=2.0
mv2g_25.dat: Qs0^2=0.1, Qs0^2_2=0.4, gamma=0.8, gamma2=1.2
