mve1.dat: Qs0^2=0.05, ec=1
mve2.dat: Qs0^2=0.05, ec=2
mve3.dat: Qs0^2=0.05, ec=4
mve4.dat: Qs0^2=0.05, ec=8
mve5.dat: Qs0^2=0.05, ec=16
mve6.dat: Qs0^2=0.05, ec=32
mve7.dat: Qs0^2=0.05, ec=64
mve8.dat: Qs0^2=0.05, ec=100
mve9.dat: Qs0^2=0.10, ec=1
mve10.dat: Qs0^2=0.10, ec=2
mve11.dat: Qs0^2=0.10, ec=4
mve12.dat: Qs0^2=0.10, ec=8
mve13.dat: Qs0^2=0.10, ec=16
mve14.dat: Qs0^2=0.10, ec=32
mve15.dat: Qs0^2=0.10, ec=64
mve16.dat: Qs0^2=0.10, ec=100
mve17.dat: Qs0^2=0.15, ec=1
mve18.dat: Qs0^2=0.15, ec=2
mve19.dat: Qs0^2=0.15, ec=4
mve20.dat: Qs0^2=0.15, ec=8
mve21.dat: Qs0^2=0.15, ec=16
mve22.dat: Qs0^2=0.15, ec=32
mve23.dat: Qs0^2=0.15, ec=64
mve24.dat: Qs0^2=0.15, ec=100
mve25.dat: Qs0^2=0.20, ec=1
mve26.dat: Qs0^2=0.20, ec=2
mve27.dat: Qs0^2=0.20, ec=4
mve28.dat: Qs0^2=0.20, ec=8
mve29.dat: Qs0^2=0.20, ec=16
mve30.dat: Qs0^2=0.20, ec=32
mve31.dat: Qs0^2=0.20, ec=64
mve32.dat: Qs0^2=0.20, ec=100
mve33.dat: Qs0^2=0.25, ec=1
mve34.dat: Qs0^2=0.25, ec=2
mve35.dat: Qs0^2=0.25, ec=4
mve36.dat: Qs0^2=0.25, ec=8
mve37.dat: Qs0^2=0.25, ec=16
mve38.dat: Qs0^2=0.25, ec=32
mve39.dat: Qs0^2=0.25, ec=64
mve40.dat: Qs0^2=0.25, ec=100
mve41.dat: Qs0^2=0.30, ec=1
mve42.dat: Qs0^2=0.30, ec=2
mve43.dat: Qs0^2=0.30, ec=4
mve44.dat: Qs0^2=0.30, ec=8
mve45.dat: Qs0^2=0.30, ec=16
mve46.dat: Qs0^2=0.30, ec=32
mve47.dat: Qs0^2=0.30, ec=64
mve48.dat: Qs0^2=0.30, ec=100
mve49.dat: Qs0^2=0.35, ec=1
mve50.dat: Qs0^2=0.35, ec=2
mve51.dat: Qs0^2=0.35, ec=4
mve52.dat: Qs0^2=0.35, ec=8
mve53.dat: Qs0^2=0.35, ec=16
mve54.dat: Qs0^2=0.35, ec=32
mve55.dat: Qs0^2=0.35, ec=64
mve56.dat: Qs0^2=0.35, ec=100
mve57.dat: Qs0^2=0.40, ec=1
mve58.dat: Qs0^2=0.40, ec=2
mve59.dat: Qs0^2=0.40, ec=4
mve60.dat: Qs0^2=0.40, ec=8
mve61.dat: Qs0^2=0.40, ec=16
mve62.dat: Qs0^2=0.40, ec=32
mve63.dat: Qs0^2=0.40, ec=64
mve64.dat: Qs0^2=0.40, ec=100
mve65.dat: Qs0^2=0.45, ec=1
mve66.dat: Qs0^2=0.45, ec=2
mve67.dat: Qs0^2=0.45, ec=4
mve68.dat: Qs0^2=0.45, ec=8
mve69.dat: Qs0^2=0.45, ec=16
mve70.dat: Qs0^2=0.45, ec=32
mve71.dat: Qs0^2=0.45, ec=64
mve72.dat: Qs0^2=0.45, ec=100
mve73.dat: Qs0^2=0.50, ec=1
mve74.dat: Qs0^2=0.50, ec=2
mve75.dat: Qs0^2=0.50, ec=4
mve76.dat: Qs0^2=0.50, ec=8
mve77.dat: Qs0^2=0.50, ec=16
mve78.dat: Qs0^2=0.50, ec=32
mve79.dat: Qs0^2=0.50, ec=64
mve80.dat: Qs0^2=0.50, ec=100
