mvg1.dat: Qs0^2=0.05, gamma=0.4
mvg2.dat: Qs0^2=0.05, gamma=0.6
mvg3.dat: Qs0^2=0.05, gamma=0.8
mvg4.dat: Qs0^2=0.05, gamma=1.0
mvg5.dat: Qs0^2=0.05, gamma=1.2
mvg6.dat: Qs0^2=0.05, gamma=1.4
mvg7.dat: Qs0^2=0.05, gamma=1.6
mvg8.dat: Qs0^2=0.05, gamma=1.8
mvg9.dat: Qs0^2=0.05, gamma=2
mvg10.dat: Qs0^2=0.10, gamma=0.4
mvg11.dat: Qs0^2=0.10, gamma=0.6
mvg12.dat: Qs0^2=0.10, gamma=0.8
mvg13.dat: Qs0^2=0.10, gamma=1.0
mvg14.dat: Qs0^2=0.10, gamma=1.2
mvg15.dat: Qs0^2=0.10, gamma=1.4
mvg16.dat: Qs0^2=0.10, gamma=1.6
mvg17.dat: Qs0^2=0.10, gamma=1.8
mvg18.dat: Qs0^2=0.10, gamma=2
mvg19.dat: Qs0^2=0.15, gamma=0.4
mvg20.dat: Qs0^2=0.15, gamma=0.6
mvg21.dat: Qs0^2=0.15, gamma=0.8
mvg22.dat: Qs0^2=0.15, gamma=1.0
mvg23.dat: Qs0^2=0.15, gamma=1.2
mvg24.dat: Qs0^2=0.15, gamma=1.4
mvg25.dat: Qs0^2=0.15, gamma=1.6
mvg26.dat: Qs0^2=0.15, gamma=1.8
mvg27.dat: Qs0^2=0.15, gamma=2
mvg28.dat: Qs0^2=0.20, gamma=0.4
mvg29.dat: Qs0^2=0.20, gamma=0.6
mvg30.dat: Qs0^2=0.20, gamma=0.8
mvg31.dat: Qs0^2=0.20, gamma=1.0
mvg32.dat: Qs0^2=0.20, gamma=1.2
mvg33.dat: Qs0^2=0.20, gamma=1.4
mvg34.dat: Qs0^2=0.20, gamma=1.6
mvg35.dat: Qs0^2=0.20, gamma=1.8
mvg36.dat: Qs0^2=0.20, gamma=2
mvg37.dat: Qs0^2=0.25, gamma=0.4
mvg38.dat: Qs0^2=0.25, gamma=0.6
mvg39.dat: Qs0^2=0.25, gamma=0.8
mvg40.dat: Qs0^2=0.25, gamma=1.0
mvg41.dat: Qs0^2=0.25, gamma=1.2
mvg42.dat: Qs0^2=0.25, gamma=1.4
mvg43.dat: Qs0^2=0.25, gamma=1.6
mvg44.dat: Qs0^2=0.25, gamma=1.8
mvg45.dat: Qs0^2=0.25, gamma=2
mvg46.dat: Qs0^2=0.30, gamma=0.4
mvg47.dat: Qs0^2=0.30, gamma=0.6
mvg48.dat: Qs0^2=0.30, gamma=0.8
mvg49.dat: Qs0^2=0.30, gamma=1.0
mvg50.dat: Qs0^2=0.30, gamma=1.2
mvg51.dat: Qs0^2=0.30, gamma=1.4
mvg52.dat: Qs0^2=0.30, gamma=1.6
mvg53.dat: Qs0^2=0.30, gamma=1.8
mvg54.dat: Qs0^2=0.30, gamma=2
mvg55.dat: Qs0^2=0.35, gamma=0.4
mvg56.dat: Qs0^2=0.35, gamma=0.6
mvg57.dat: Qs0^2=0.35, gamma=0.8
mvg58.dat: Qs0^2=0.35, gamma=1.0
mvg59.dat: Qs0^2=0.35, gamma=1.2
mvg60.dat: Qs0^2=0.35, gamma=1.4
mvg61.dat: Qs0^2=0.35, gamma=1.6
mvg62.dat: Qs0^2=0.35, gamma=1.8
mvg63.dat: Qs0^2=0.35, gamma=2
mvg64.dat: Qs0^2=0.40, gamma=0.4
mvg65.dat: Qs0^2=0.40, gamma=0.6
mvg66.dat: Qs0^2=0.40, gamma=0.8
mvg67.dat: Qs0^2=0.40, gamma=1.0
mvg68.dat: Qs0^2=0.40, gamma=1.2
mvg69.dat: Qs0^2=0.40, gamma=1.4
mvg70.dat: Qs0^2=0.40, gamma=1.6
mvg71.dat: Qs0^2=0.40, gamma=1.8
mvg72.dat: Qs0^2=0.40, gamma=2
mvg73.dat: Qs0^2=0.45, gamma=0.4
mvg74.dat: Qs0^2=0.45, gamma=0.6
mvg75.dat: Qs0^2=0.45, gamma=0.8
mvg76.dat: Qs0^2=0.45, gamma=1.0
mvg77.dat: Qs0^2=0.45, gamma=1.2
mvg78.dat: Qs0^2=0.45, gamma=1.4
mvg79.dat: Qs0^2=0.45, gamma=1.6
mvg80.dat: Qs0^2=0.45, gamma=1.8
mvg81.dat: Qs0^2=0.45, gamma=2
mvg82.dat: Qs0^2=0.50, gamma=0.4
mvg83.dat: Qs0^2=0.50, gamma=0.6
mvg84.dat: Qs0^2=0.50, gamma=0.8
mvg85.dat: Qs0^2=0.50, gamma=1.0
mvg86.dat: Qs0^2=0.50, gamma=1.2
mvg87.dat: Qs0^2=0.50, gamma=1.4
mvg88.dat: Qs0^2=0.50, gamma=1.6
mvg89.dat: Qs0^2=0.50, gamma=1.8
mvg90.dat: Qs0^2=0.50, gamma=2
