mvge_1.dat: Qs0^2=0.1, gamma=0.4, ec=1
mvge_2.dat: Qs0^2=0.1, gamma=0.4, ec=4
mvge_3.dat: Qs0^2=0.1, gamma=0.4, ec=16
mvge_4.dat: Qs0^2=0.1, gamma=0.4, ec=64
mvge_5.dat: Qs0^2=0.1, gamma=0.4, ec=100
mvge_6.dat: Qs0^2=0.1, gamma=0.8, ec=1
mvge_7.dat: Qs0^2=0.1, gamma=0.8, ec=4
mvge_8.dat: Qs0^2=0.1, gamma=0.8, ec=16
mvge_9.dat: Qs0^2=0.1, gamma=0.8, ec=64
mvge_10.dat: Qs0^2=0.1, gamma=0.8, ec=100
mvge_11.dat: Qs0^2=0.1, gamma=1.2, ec=1
mvge_12.dat: Qs0^2=0.1, gamma=1.2, ec=4
mvge_13.dat: Qs0^2=0.1, gamma=1.2, ec=16
mvge_14.dat: Qs0^2=0.1, gamma=1.2, ec=64
mvge_15.dat: Qs0^2=0.1, gamma=1.2, ec=100
mvge_16.dat: Qs0^2=0.1, gamma=1.6, ec=1
mvge_17.dat: Qs0^2=0.1, gamma=1.6, ec=4
mvge_18.dat: Qs0^2=0.1, gamma=1.6, ec=16
mvge_19.dat: Qs0^2=0.1, gamma=1.6, ec=64
mvge_20.dat: Qs0^2=0.1, gamma=1.6, ec=100
mvge_21.dat: Qs0^2=0.1, gamma=2.0, ec=1
mvge_22.dat: Qs0^2=0.1, gamma=2.0, ec=4
mvge_23.dat: Qs0^2=0.1, gamma=2.0, ec=16
mvge_24.dat: Qs0^2=0.1, gamma=2.0, ec=64
mvge_25.dat: Qs0^2=0.1, gamma=2.0, ec=100
mvge_26.dat: Qs0^2=0.2, gamma=0.4, ec=1
mvge_27.dat: Qs0^2=0.2, gamma=0.4, ec=4
mvge_28.dat: Qs0^2=0.2, gamma=0.4, ec=16
mvge_29.dat: Qs0^2=0.2, gamma=0.4, ec=64
mvge_30.dat: Qs0^2=0.2, gamma=0.4, ec=100
mvge_31.dat: Qs0^2=0.2, gamma=0.8, ec=1
mvge_32.dat: Qs0^2=0.2, gamma=0.8, ec=4
mvge_33.dat: Qs0^2=0.2, gamma=0.8, ec=16
mvge_34.dat: Qs0^2=0.2, gamma=0.8, ec=64
mvge_35.dat: Qs0^2=0.2, gamma=0.8, ec=100
mvge_36.dat: Qs0^2=0.2, gamma=1.2, ec=1
mvge_37.dat: Qs0^2=0.2, gamma=1.2, ec=4
mvge_38.dat: Qs0^2=0.2, gamma=1.2, ec=16
mvge_39.dat: Qs0^2=0.2, gamma=1.2, ec=64
mvge_40.dat: Qs0^2=0.2, gamma=1.2, ec=100
mvge_41.dat: Qs0^2=0.2, gamma=1.6, ec=1
mvge_42.dat: Qs0^2=0.2, gamma=1.6, ec=4
mvge_43.dat: Qs0^2=0.2, gamma=1.6, ec=16
mvge_44.dat: Qs0^2=0.2, gamma=1.6, ec=64
mvge_45.dat: Qs0^2=0.2, gamma=1.6, ec=100
mvge_46.dat: Qs0^2=0.2, gamma=2.0, ec=1
mvge_47.dat: Qs0^2=0.2, gamma=2.0, ec=4
mvge_48.dat: Qs0^2=0.2, gamma=2.0, ec=16
mvge_49.dat: Qs0^2=0.2, gamma=2.0, ec=64
mvge_50.dat: Qs0^2=0.2, gamma=2.0, ec=100
mvge_51.dat: Qs0^2=0.3, gamma=0.4, ec=1
mvge_52.dat: Qs0^2=0.3, gamma=0.4, ec=4
mvge_53.dat: Qs0^2=0.3, gamma=0.4, ec=16
mvge_54.dat: Qs0^2=0.3, gamma=0.4, ec=64
mvge_55.dat: Qs0^2=0.3, gamma=0.4, ec=100
mvge_56.dat: Qs0^2=0.3, gamma=0.8, ec=1
mvge_57.dat: Qs0^2=0.3, gamma=0.8, ec=4
mvge_58.dat: Qs0^2=0.3, gamma=0.8, ec=16
mvge_59.dat: Qs0^2=0.3, gamma=0.8, ec=64
mvge_60.dat: Qs0^2=0.3, gamma=0.8, ec=100
mvge_61.dat: Qs0^2=0.3, gamma=1.2, ec=1
mvge_62.dat: Qs0^2=0.3, gamma=1.2, ec=4
mvge_63.dat: Qs0^2=0.3, gamma=1.2, ec=16
mvge_64.dat: Qs0^2=0.3, gamma=1.2, ec=64
mvge_65.dat: Qs0^2=0.3, gamma=1.2, ec=100
mvge_66.dat: Qs0^2=0.3, gamma=1.6, ec=1
mvge_67.dat: Qs0^2=0.3, gamma=1.6, ec=4
mvge_68.dat: Qs0^2=0.3, gamma=1.6, ec=16
mvge_69.dat: Qs0^2=0.3, gamma=1.6, ec=64
mvge_70.dat: Qs0^2=0.3, gamma=1.6, ec=100
mvge_71.dat: Qs0^2=0.3, gamma=2.0, ec=1
mvge_72.dat: Qs0^2=0.3, gamma=2.0, ec=4
mvge_73.dat: Qs0^2=0.3, gamma=2.0, ec=16
mvge_74.dat: Qs0^2=0.3, gamma=2.0, ec=64
mvge_75.dat: Qs0^2=0.3, gamma=2.0, ec=100
mvge_76.dat: Qs0^2=0.4, gamma=0.4, ec=1
mvge_77.dat: Qs0^2=0.4, gamma=0.4, ec=4
mvge_78.dat: Qs0^2=0.4, gamma=0.4, ec=16
mvge_79.dat: Qs0^2=0.4, gamma=0.4, ec=64
mvge_80.dat: Qs0^2=0.4, gamma=0.4, ec=100
mvge_81.dat: Qs0^2=0.4, gamma=0.8, ec=1
mvge_82.dat: Qs0^2=0.4, gamma=0.8, ec=4
mvge_83.dat: Qs0^2=0.4, gamma=0.8, ec=16
mvge_84.dat: Qs0^2=0.4, gamma=0.8, ec=64
mvge_85.dat: Qs0^2=0.4, gamma=0.8, ec=100
mvge_86.dat: Qs0^2=0.4, gamma=1.2, ec=1
mvge_87.dat: Qs0^2=0.4, gamma=1.2, ec=4
mvge_88.dat: Qs0^2=0.4, gamma=1.2, ec=16
mvge_89.dat: Qs0^2=0.4, gamma=1.2, ec=64
mvge_90.dat: Qs0^2=0.4, gamma=1.2, ec=100
mvge_91.dat: Qs0^2=0.4, gamma=1.6, ec=1
mvge_92.dat: Qs0^2=0.4, gamma=1.6, ec=4
mvge_93.dat: Qs0^2=0.4, gamma=1.6, ec=16
mvge_94.dat: Qs0^2=0.4, gamma=1.6, ec=64
mvge_95.dat: Qs0^2=0.4, gamma=1.6, ec=100
mvge_96.dat: Qs0^2=0.4, gamma=2.0, ec=1
mvge_97.dat: Qs0^2=0.4, gamma=2.0, ec=4
mvge_98.dat: Qs0^2=0.4, gamma=2.0, ec=16
mvge_99.dat: Qs0^2=0.4, gamma=2.0, ec=64
mvge_100.dat: Qs0^2=0.4, gamma=2.0, ec=100
mvge_101.dat: Qs0^2=0.5, gamma=0.4, ec=1
mvge_102.dat: Qs0^2=0.5, gamma=0.4, ec=4
mvge_103.dat: Qs0^2=0.5, gamma=0.4, ec=16
mvge_104.dat: Qs0^2=0.5, gamma=0.4, ec=64
mvge_105.dat: Qs0^2=0.5, gamma=0.4, ec=100
mvge_106.dat: Qs0^2=0.5, gamma=0.8, ec=1
mvge_107.dat: Qs0^2=0.5, gamma=0.8, ec=4
mvge_108.dat: Qs0^2=0.5, gamma=0.8, ec=16
mvge_109.dat: Qs0^2=0.5, gamma=0.8, ec=64
mvge_110.dat: Qs0^2=0.5, gamma=0.8, ec=100
mvge_111.dat: Qs0^2=0.5, gamma=1.2, ec=1
mvge_112.dat: Qs0^2=0.5, gamma=1.2, ec=4
mvge_113.dat: Qs0^2=0.5, gamma=1.2, ec=16
mvge_114.dat: Qs0^2=0.5, gamma=1.2, ec=64
mvge_115.dat: Qs0^2=0.5, gamma=1.2, ec=100
mvge_116.dat: Qs0^2=0.5, gamma=1.6, ec=1
mvge_117.dat: Qs0^2=0.5, gamma=1.6, ec=4
mvge_118.dat: Qs0^2=0.5, gamma=1.6, ec=16
mvge_119.dat: Qs0^2=0.5, gamma=1.6, ec=64
mvge_120.dat: Qs0^2=0.5, gamma=1.6, ec=100
mvge_121.dat: Qs0^2=0.5, gamma=2.0, ec=1
mvge_122.dat: Qs0^2=0.5, gamma=2.0, ec=4
mvge_123.dat: Qs0^2=0.5, gamma=2.0, ec=16
mvge_124.dat: Qs0^2=0.5, gamma=2.0, ec=64
mvge_125.dat: Qs0^2=0.5, gamma=2.0, ec=100
